comment_id,text,source,date,likes,shares,word_count,year,cleaned_text,corrected_text,tokens
comment_011,Great to see biodegradable ALTERNATIVES becoming available 🐠??,BBC News,2022-03-16,157,15,8,2022,great to see biodegradable alternatives becoming available,great to see biodegradable alternatives becoming available,"['great', 'see', 'biodegrad', 'altern', 'becom', 'avail']"
comment_012,@UNEnvironment The Great Pacific Garbage Patch is mostly plastic,Guardian ,2023-11-20,337,21,9,2023,unenvironment the great pacific garbage patch is mostly plastic,unenvironment the great pacific garbage patch is mostly plastic,"['unenviron', 'great', 'pacif', 'garbag', 'patch', 'mostli', 'plastic']"
comment_013,Waste management systems NEED improvement,BBC News,2021-03-12,61,112,5,2021,waste management systems need improvement,waste management systems need improvement,"['wast', 'manag', 'system', 'need', 'improv']"
comment_014,@UNEnvironment Plastic in fashion is a growing problem!!!,Guardian ,2020-02-24,95,86,8,2020,unenvironment plastic in fashion is a growing problem,unenvironment plastic in fashion is a growing problem,"['unenviron', 'plastic', 'fashion', 'grow', 'problem']"
comment_015,Innovations in recycling technology give hope,Guardian ,2023-03-03,337,88,6,2023,innovations in recycling technology give hope,innovations in recycling technology give hope,"['innov', 'recycl', 'technolog', 'give', 'hope']"
comment_016,@DavidAttenborough Great to see biodegradable alternatives becoming available http://www.greenpeace.org/plastic,BBC News,2023-06-20,49,69,9,2023,davidattenborough great to see biodegradable alternatives becoming available http www greenpeace org plastic,davidattenborough great to see biodegradable alternatives becoming available http www greenpeace org plastic,"['davidattenborough', 'great', 'see', 'biodegrad', 'altern', 'becom', 'avail', 'http', 'www', 'greenpeac', 'org', 'plastic']"
comment_017,@UNEnvironment Plastic bottles take hundreds of years to decompose http://www.greenpeace.org/plastic,Mail Online,2017-03-04,33,122,10,2017,unenvironment plastic bottles take hundreds of years to decompose http www greenpeace org plastic,unenvironment plastic bottles take hundreds of years to decompose http www greenpeace org plastic,"['unenviron', 'plastic', 'bottl', 'take', 'hundr', 'year', 'decompos', 'http', 'www', 'greenpeac', 'org', 'plastic']"
comment_018,Biodegradable plastics are not perfect but better,Mail Online,2023-05-22,239,138,7,2023,biodegradable plastics are not perfect but better,biodegradable plastics are not perfect but better,"['biodegrad', 'plastic', 'perfect', 'better']"
comment_019,Everyone has RESPONSIBILITY to reduce plastic 🚮,BBC News,2018-10-13,242,44,7,2018,everyone has responsibility to reduce plastic,everyone has responsibility to reduce plastic,"['everyon', 'respons', 'reduc', 'plastic']"
comment_020,Plastic pollution is destroying our oceans and marine life 🤔 #savetheoceans!!!,Guardian ,2021-08-21,169,134,11,2021,plastic pollution is destroying our oceans and marine life savetheoceans,plastic pollution is destroying our oceans and marine life savetheoceans,"['plastic', 'pollut', 'destroy', 'ocean', 'marin', 'life', 'savetheocean']"
comment_021,Many countries have banned single-use plastic bags https://bit.ly/3plasticfacts,Guardian ,2018-04-26,280,65,8,2018,many countries have banned single use plastic bags bit ly plasticfacts,many countries have banned single use plastic bags bit ly plasticfacts,"['mani', 'countri', 'ban', 'singl', 'use', 'plastic', 'bag', 'bit', 'plasticfact']"
comment_022,We need better solutions for plastic WASTE management,Mail Online,2023-03-05,88,61,8,2023,we need better solutions for plastic waste management,we need better solutions for plastic waste management,"['need', 'better', 'solut', 'plastic', 'wast', 'manag']"
comment_023,Plastic bottles take hundreds of years to decompose,Guardian ,2019-01-17,216,104,8,2019,plastic bottles take hundreds of years to decompose,plastic bottles take hundreds of years to decompose,"['plastic', 'bottl', 'take', 'hundr', 'year', 'decompos']"
comment_024,@DavidAttenborough Plastic pollution is preventable with effort,Mail Online,2022-08-16,19,10,7,2022,davidattenborough plastic pollution is preventable with effort,davidattenborough plastic pollution is preventable with effort,"['davidattenborough', 'plastic', 'pollut', 'prevent', 'effort']"
comment_025,WASTE management systems need improvement,Guardian ,2017-05-23,61,45,5,2017,waste management systems need improvement,waste management systems need improvement,"['wast', 'manag', 'system', 'need', 'improv']"
comment_026,Innovations in recycling technology give hope!!!,Guardian ,2018-04-18,74,15,6,2018,innovations in recycling technology give hope,innovations in recycling technology give hope,"['innov', 'recycl', 'technolog', 'give', 'hope']"
comment_027,We MUST find balance between convenience and environment,Guardian ,2017-08-02,79,7,8,2017,we must find balance between convenience and environment,we must find balance between convenience and environment,"['must', 'find', 'balanc', 'conveni', 'environ']"
comment_028,INTERNATIONAL cooperation needed for plastic crisis 🤔,BBC News,2017-08-19,155,98,7,2017,international cooperation needed for plastic crisis,international cooperation needed for plastic crisis,"['intern', 'cooper', 'need', 'plastic', 'crisi']"
comment_029,Corporate responsibility for plastic is important,BBC News,2021-08-12,328,13,6,2021,corporate responsibility for plastic is important,corporate responsibility for plastic is important,"['corpor', 'respons', 'plastic', 'import']"
comment_030,Recycling is not working most plastic never gets recycled #CLIMATECHANGE,Mail Online,2018-05-14,148,62,10,2018,recycling is not working most plastic never gets recycled climatechange,recycling is not working most plastic never gets recycled climatechange,"['recycl', 'work', 'plastic', 'never', 'get', 'recycl', 'climatechang']"
comment_031,Corporate responsibility for plastic is important ❤️,Guardian ,2017-09-03,36,112,7,2017,corporate responsibility for plastic is important,corporate responsibility for plastic is important,"['corpor', 'respons', 'plastic', 'import']"
comment_032,Community beach cleanups are very rewarding,Guardian ,2022-04-22,174,136,6,2022,community beach cleanups are very rewarding,community beach cleanups are very rewarding,"['commun', 'beach', 'cleanup', 'reward']"
comment_033,Young activists are leading the movement ❤️ #recycling https://bit.ly/3plasticfacts,BBC News,2019-02-04,104,57,9,2019,young activists are leading the movement recycling bit ly plasticfacts,young activists are leading the movement recycling bit ly plasticfacts,"['young', 'activist', 'lead', 'movement', 'recycl', 'bit', 'plasticfact']"
comment_034,Government policies need to be STRONGER 😂...,BBC News,2020-09-02,211,142,7,2020,government policies need to be stronger,government policies need to be stronger,"['govern', 'polici', 'need', 'stronger']"
comment_035,Plastic production should be regulated strictly?!,Guardian ,2022-10-11,270,140,6,2022,plastic production should be regulated strictly,plastic production should be regulated strictly,"['plastic', 'product', 'regul', 'strictli']"
comment_036,International cooperation needed for plastic crisis,Mail Online,2023-01-19,265,56,6,2023,international cooperation needed for plastic crisis,international cooperation needed for plastic crisis,"['intern', 'cooper', 'need', 'plastic', 'crisi']"
comment_037,Companies using recycled plastic deserve support,Guardian ,2020-06-28,219,99,6,2020,companies using recycled plastic deserve support,companies using recycled plastic deserve support,"['compani', 'use', 'recycl', 'plastic', 'deserv', 'support']"
comment_038,Marine animals suffer the most from plastic 😡 https://bit.ly/3plasticfacts,BBC News,2023-09-25,287,90,9,2023,marine animals suffer the most from plastic bit ly plasticfacts,marine animals suffer the most from plastic bit ly plasticfacts,"['marin', 'anim', 'suffer', 'plastic', 'bit', 'plasticfact']"
comment_039,Reusable products are the future,Guardian ,2020-06-09,68,105,5,2020,reusable products are the future,reusable products are the future,"['reusabl', 'product', 'futur']"
comment_040,Plastic POLLUTION is preventable with effort 😢,BBC News,2023-04-20,292,122,7,2023,plastic pollution is preventable with effort,plastic pollution is preventable with effort,"['plastic', 'pollut', 'prevent', 'effort']"
comment_041,@BBCEnvironment Plastic AWARENESS campaigns are effective 💩,Mail Online,2023-04-02,341,64,7,2023,bbcenvironment plastic awareness campaigns are effective,bbcenvironment plastic awareness campaigns are effective,"['bbcenviron', 'plastic', 'awar', 'campaign', 'effect']"
comment_042,@GreenPeace Plastic problem requires global SOLUTION,Guardian ,2020-10-05,327,22,6,2020,greenpeace plastic problem requires global solution,greenpeace plastic problem requires global solution,"['greenpeac', 'plastic', 'problem', 'requir', 'global', 'solut']"
comment_043,@GreenPeace Great to see biodegradable alternatives becoming available https://bit.ly/3plasticfacts...,Guardian ,2021-03-09,89,30,9,2021,greenpeace great to see biodegradable alternatives becoming available bit ly plasticfacts,greenpeace great to see biodegradable alternatives becoming available bit ly plasticfacts,"['greenpeac', 'great', 'see', 'biodegrad', 'altern', 'becom', 'avail', 'bit', 'plasticfact']"
comment_044,Community beach cleanups are very rewarding?!,BBC News,2023-04-13,327,48,6,2023,community beach cleanups are very rewarding,community beach cleanups are very rewarding,"['commun', 'beach', 'cleanup', 'reward']"
comment_045,@BBCEnvironment Plastic waste in rivers flows to oceans,Mail Online,2017-04-01,155,36,8,2017,bbcenvironment plastic waste in rivers flows to oceans,bbcenvironment plastic waste in rivers flows to oceans,"['bbcenviron', 'plastic', 'wast', 'river', 'flow', 'ocean']"
comment_046,Innovative materials can replace plastik 😊,BBC News,2019-12-02,7,55,6,2019,innovative materials can replace plastik,innovative materials can replace plastic,"['innov', 'materi', 'replac', 'plastic']"
comment_047,I reduced my plastic consumption significantly,Guardian ,2022-04-06,130,13,6,2022,i reduced my plastic consumption significantly,i reduced my plastic consumption significantly,"['reduc', 'plastic', 'consumpt', 'significantli']"
comment_048,Plastic production should be regulated strictly,BBC News,2017-12-21,177,138,6,2017,plastic production should be regulated strictly,plastic production should be regulated strictly,"['plastic', 'product', 'regul', 'strictli']"
comment_049,I REDUCED my plastic consumption significantly #plasticpollution,Mail Online,2019-07-05,292,36,7,2019,i reduced my plastic consumption significantly plasticpollution,i reduced my plastic consumption significantly plasticpollution,"['reduc', 'plastic', 'consumpt', 'significantli', 'plasticpollut']"
comment_050,The plastic industry IS destroying our environment 🌍,BBC News,2018-01-09,312,68,8,2018,the plastic industry is destroying our environment,the plastic industry is destroying our environment,"['plastic', 'industri', 'destroy', 'environ']"
comment_051,Waste management systems need improvement!?,Guardian ,2018-12-11,86,107,5,2018,waste management systems need improvement,waste management systems need improvement,"['wast', 'manag', 'system', 'need', 'improv']"
comment_052,We need better solutions for plastik waste MANAGEMENT!!!,Guardian ,2018-12-24,226,16,8,2018,we need better solutions for plastik waste management,we need better solutions for plastic waste management,"['need', 'better', 'solut', 'plastic', 'wast', 'manag']"
comment_053,Supermarkets use too much plastic packaging,BBC News,2021-03-02,201,19,6,2021,supermarkets use too much plastic packaging,supermarkets use too much plastic packaging,"['supermarket', 'use', 'much', 'plastic', 'packag']"
comment_054,The plastic industry is destroying OUR environment,BBC News,2018-03-26,18,47,7,2018,the plastic industry is destroying our environment,the plastic industry is destroying our environment,"['plastic', 'industri', 'destroy', 'environ']"
comment_055,Recycling is not working most plastic never gets recycled #recycling,Mail Online,2021-03-20,140,40,10,2021,recycling is not working most plastic never gets recycled recycling,recycling is not working most plastic never gets recycled recycling,"['recycl', 'work', 'plastic', 'never', 'get', 'recycl', 'recycl']"
comment_056,I reduced my plastic consumption significantly #plasticpollution!?,Mail Online,2022-08-26,196,114,7,2022,i reduced my plastic consumption significantly plasticpollution,i reduced my plastic consumption significantly plasticpollution,"['reduc', 'plastic', 'consumpt', 'significantli', 'plasticpollut']"
comment_057,The plastic industry is destroying our environment 👍 #sustainability https://bit.ly/3plasticfacts,BBC News,2019-12-15,189,1,10,2019,the plastic industry is destroying our environment sustainability bit ly plasticfacts,the plastic industry is destroying our environment sustainability bit ly plasticfacts,"['plastic', 'industri', 'destroy', 'environ', 'sustain', 'bit', 'plasticfact']"
comment_058,I reduced MY plastic consumption significantly,Mail Online,2019-07-26,130,143,6,2019,i reduced my plastic consumption significantly,i reduced my plastic consumption significantly,"['reduc', 'plastic', 'consumpt', 'significantli']"
comment_059,We need better solutions for plastic waste management 😊 #sustainability!?,Mail Online,2023-08-06,220,76,10,2023,we need better solutions for plastic waste management sustainability,we need better solutions for plastic waste management sustainability,"['need', 'better', 'solut', 'plastic', 'wast', 'manag', 'sustain']"
comment_060,Education about plastic waste is crucial 👍,BBC News,2023-11-26,97,60,7,2023,education about plastic waste is crucial,education about plastic waste is crucial,"['educ', 'plastic', 'wast', 'crucial']"
comment_061,Marine animals suffer the most from plastic #climatechange,BBC News,2021-04-02,85,148,8,2021,marine animals suffer the most from plastic climatechange,marine animals suffer the most from plastic climatechange,"['marin', 'anim', 'suffer', 'plastic', 'climatechang']"
comment_062,@BBCEnvironment Many countries have BANNED single-use plastik bags 💩,Guardian ,2017-10-16,219,40,9,2017,bbcenvironment many countries have banned single use plastik bags,bbcenvironment many countries have banned single use plastic bags,"['bbcenviron', 'mani', 'countri', 'ban', 'singl', 'use', 'plastic', 'bag']"
comment_063,Recycling is not WORKING most plastic never gets recycled!!!,Guardian ,2021-03-12,273,1,9,2021,recycling is not working most plastic never gets recycled,recycling is not working most plastic never gets recycled,"['recycl', 'work', 'plastic', 'never', 'get', 'recycl']"
comment_064,@UNEnvironment International cooperation needed for plastic crisis 😊,Mail Online,2017-12-03,127,57,8,2017,unenvironment international cooperation needed for plastic crisis,unenvironment international cooperation needed for plastic crisis,"['unenviron', 'intern', 'cooper', 'need', 'plastic', 'crisi']"
comment_065,The new plastic tax is a good step forward,Mail Online,2019-11-09,64,62,9,2019,the new plastic tax is a good step forward,the new plastic tax is a good step forward,"['new', 'plastic', 'tax', 'good', 'step', 'forward']"
comment_066,Plastic bags are convenient but harmful #recyling?!,BBC News,2018-03-10,246,92,7,2018,plastic bags are convenient but harmful recyling,plastic bags are convenient but harmful recycling,"['plastic', 'bag', 'conveni', 'harm', 'recycl']"
comment_067,@UNEnvironment Biodegradable plastics are not perfect but better?!,Mail Online,2023-11-10,314,67,8,2023,unenvironment biodegradable plastics are not perfect but better,unenvironment biodegradable plastics are not perfect but better,"['unenviron', 'biodegrad', 'plastic', 'perfect', 'better']"
comment_068,@UNEnvironment Plastic waste in rivers flows to oceans 😊,Mail Online,2023-05-04,320,96,9,2023,unenvironment plastic waste in rivers flows to oceans,unenvironment plastic waste in rivers flows to oceans,"['unenviron', 'plastic', 'wast', 'river', 'flow', 'ocean']"
comment_069,@UNEnvironment The plastic industry is destroying our environment #recycling,BBC News,2022-10-17,152,6,9,2022,unenvironment the plastic industry is destroying our environment recycling,unenvironment the plastic industry is destroying our environment recycling,"['unenviron', 'plastic', 'industri', 'destroy', 'environ', 'recycl']"
comment_070,@GreenPeace Innovative materials can replace plastic,Mail Online,2020-05-03,34,29,6,2020,greenpeace innovative materials can replace plastic,greenpeace innovative materials can replace plastic,"['greenpeac', 'innov', 'materi', 'replac', 'plastic']"
comment_071,Plastic bottles TAKE hundreds of years to decompose 👎,BBC News,2020-06-23,120,3,9,2020,plastic bottles take hundreds of years to decompose,plastic bottles take hundreds of years to decompose,"['plastic', 'bottl', 'take', 'hundr', 'year', 'decompos']"
comment_072,Innovations in recycling technology give hope #zerowaste,Guardian ,2017-08-06,341,100,7,2017,innovations in recycling technology give hope zerowaste,innovations in recycling technology give hope zerowaste,"['innov', 'recycl', 'technolog', 'give', 'hope', 'zerowast']"
comment_073,We must find balance between convenience and environment!?,Guardian ,2021-05-16,285,52,8,2021,we must find balance between convenience and environment,we must find balance between convenience and environment,"['must', 'find', 'balanc', 'conveni', 'environ']"
comment_074,We need better solutions for plastic waste management 🐠,Mail Online,2018-06-10,45,57,9,2018,we need better solutions for plastic waste management,we need better solutions for plastic waste management,"['need', 'better', 'solut', 'plastic', 'wast', 'manag']"
comment_075,Corporate RESPONSIBILITY for plastic is importent...,Guardian ,2023-08-23,54,23,6,2023,corporate responsibility for plastic is importent,corporate responsibility for plastic is important,"['corpor', 'respons', 'plastic', 'import']"
comment_076,Government policies need to be stronger?!,Guardian ,2021-01-02,234,31,6,2021,government policies need to be stronger,government policies need to be stronger,"['govern', 'polici', 'need', 'stronger']"
comment_077,REUSABLE products are the future #environment,Guardian ,2017-01-31,251,137,6,2017,reusable products are the future environment,reusable products are the future environment,"['reusabl', 'product', 'futur', 'environ']"
comment_078,Plastic pollution affects everyone globally http://www.greenpeace.org/plastic,Guardian ,2018-05-05,295,33,6,2018,plastic pollution affects everyone globally http www greenpeace org plastic,plastic pollution affects everyone globally http www greenpeace org plastic,"['plastic', 'pollut', 'affect', 'everyon', 'global', 'http', 'www', 'greenpeac', 'org', 'plastic']"
comment_079,Innovations in recycling technology give hope #savetheoceans,Guardian ,2019-05-22,157,23,7,2019,innovations in recycling technology give hope savetheoceans,innovations in recycling technology give hope savetheoceans,"['innov', 'recycl', 'technolog', 'give', 'hope', 'savetheocean']"
comment_080,Local recycling programs vary too much 🐠,BBC News,2021-01-06,230,150,7,2021,local recycling programs vary too much,local recycling programs vary too much,"['local', 'recycl', 'program', 'vari', 'much']"
comment_081,Everyone has responsibility to reduce plastic,BBC News,2018-01-15,18,87,6,2018,everyone has responsibility to reduce plastic,everyone has responsibility to reduce plastic,"['everyon', 'respons', 'reduc', 'plastic']"
comment_082,PLASTIC waste in rivers flows to oceans http://www.greenpeace.org/plastic,Mail Online,2019-04-04,170,142,8,2019,plastic waste in rivers flows to oceans http www greenpeace org plastic,plastic waste in rivers flows to oceans http www greenpeace org plastic,"['plastic', 'wast', 'river', 'flow', 'ocean', 'http', 'www', 'greenpeac', 'org', 'plastic']"
comment_083,Innovative materials can replace PLASTIC,Mail Online,2017-03-10,200,41,5,2017,innovative materials can replace plastic,innovative materials can replace plastic,"['innov', 'materi', 'replac', 'plastic']"
comment_084,Microplastiks are in our food and water this is terrifying ❤️,Mail Online,2018-05-22,129,117,11,2018,microplastiks are in our food and water this is terrifying,microplastiks are in our food and water this is terrifying,"['microplastik', 'food', 'water', 'terrifi']"
comment_085,Government POLICIES need to be stronger 😂,Mail Online,2018-09-19,292,97,7,2018,government policies need to be stronger,government policies need to be stronger,"['govern', 'polici', 'need', 'stronger']"
comment_086,Waste management systems need improvement,Mail Online,2022-10-16,105,60,5,2022,waste management systems need improvement,waste management systems need improvement,"['wast', 'manag', 'system', 'need', 'improv']"
comment_087,@GreenPeace More research needed on plastic alternatives #ecofriendly,Guardian ,2020-12-04,323,120,8,2020,greenpeace more research needed on plastic alternatives ecofriendly,greenpeace more research needed on plastic alternatives ecofriendly,"['greenpeac', 'research', 'need', 'plastic', 'altern', 'ecofriendli']"
comment_088,@GreenPeace International cooperation needed for plastic crisis #sustainability...,Mail Online,2019-05-16,266,144,8,2019,greenpeace international cooperation needed for plastic crisis sustainability,greenpeace international cooperation needed for plastic crisis sustainability,"['greenpeac', 'intern', 'cooper', 'need', 'plastic', 'crisi', 'sustain']"
comment_089,Government policies need to be stronger #plasticpollution,Guardian ,2019-01-30,176,2,7,2019,government policies need to be stronger plasticpollution,government policies need to be stronger plasticpollution,"['govern', 'polici', 'need', 'stronger', 'plasticpollut']"
comment_090,Single-use plastik should be banned completely #plastikpollution,BBC News,2020-04-09,192,69,7,2020,single use plastik should be banned completely plastikpollution,single use plastic should be banned completely plastikpollution,"['singl', 'use', 'plastic', 'ban', 'complet', 'plastikpollut']"
comment_091,More research needed on plastic alternatives 🔥,Guardian ,2020-09-08,154,135,7,2020,more research needed on plastic alternatives,more research needed on plastic alternatives,"['research', 'need', 'plastic', 'altern']"
comment_092,Biodegradable plastics are not perfect but better http://www.greenpeace.org/plastic!?,BBC News,2020-03-29,313,130,8,2020,biodegradable plastics are not perfect but better http www greenpeace org plastic,biodegradable plastics are not perfect but better http www greenpeace org plastic,"['biodegrad', 'plastic', 'perfect', 'better', 'http', 'www', 'greenpeac', 'org', 'plastic']"
comment_093,Local recycling programs vary too much 👍 #environment,Mail Online,2019-05-16,344,45,8,2019,local recycling programs vary too much environment,local recycling programs vary too much environment,"['local', 'recycl', 'program', 'vari', 'much', 'environ']"
comment_094,Marine animals suffer the most from plastic??,Mail Online,2019-08-12,343,25,7,2019,marine animals suffer the most from plastic,marine animals suffer the most from plastic,"['marin', 'anim', 'suffer', 'plastic']"
comment_095,We need circular economy approaches for plastic...,Guardian ,2019-08-15,11,78,7,2019,we need circular economy approaches for plastic,we need circular economy approaches for plastic,"['need', 'circular', 'economi', 'approach', 'plastic']"
comment_096,@GreenPeace We must find balance between convenience and enviroment,BBC News,2023-06-05,54,10,9,2023,greenpeace we must find balance between convenience and enviroment,greenpeace we must find balance between convenience and environment,"['greenpeac', 'must', 'find', 'balanc', 'conveni', 'environ']"
comment_097,Public awareness is increasing which is good 🔥!!!,BBC News,2021-10-04,48,58,8,2021,public awareness is increasing which is good,public awareness is increasing which is good,"['public', 'awar', 'increas', 'good']"
comment_098,Supermarkets use too much plastic packaging,Guardian ,2021-02-15,66,69,6,2021,supermarkets use too much plastic packaging,supermarkets use too much plastic packaging,"['supermarket', 'use', 'much', 'plastic', 'packag']"
comment_099,Plastic RECYCLING rates are disappointingly low?!,Guardian ,2020-04-07,121,60,6,2020,plastic recycling rates are disappointingly low,plastic recycling rates are disappointingly low,"['plastic', 'recycl', 'rate', 'disappointingli', 'low']"
comment_100,Education ABOUT plastic waste is crucial #plasticpollution...,Mail Online,2023-09-10,315,66,7,2023,education about plastic waste is crucial plasticpollution,education about plastic waste is crucial plasticpollution,"['educ', 'plastic', 'wast', 'crucial', 'plasticpollut']"
comment_101,Everyone has responsibility to reduce plastic,Guardian ,2021-05-12,146,113,6,2021,everyone has responsibility to reduce plastic,everyone has responsibility to reduce plastic,"['everyon', 'respons', 'reduc', 'plastic']"
comment_102,Corporate responsibility for plastic is importent 👎,Guardian ,2017-07-20,95,60,7,2017,corporate responsibility for plastic is importent,corporate responsibility for plastic is important,"['corpor', 'respons', 'plastic', 'import']"
comment_103,@BBCEnvironment Corporate responsibility for plastic is important https://bit.ly/3plasticfacts...,BBC News,2017-08-15,168,120,8,2017,bbcenvironment corporate responsibility for plastic is important bit ly plasticfacts,bbcenvironment corporate responsibility for plastic is important bit ly plasticfacts,"['bbcenviron', 'corpor', 'respons', 'plastic', 'import', 'bit', 'plasticfact']"
comment_104,Many countries have banned single-use plastic bags!?,Guardian ,2022-10-09,170,118,7,2022,many countries have banned single use plastic bags,many countries have banned single use plastic bags,"['mani', 'countri', 'ban', 'singl', 'use', 'plastic', 'bag']"
comment_105,Plastic bags are convenient but harmful,BBC News,2018-07-05,286,89,6,2018,plastic bags are convenient but harmful,plastic bags are convenient but harmful,"['plastic', 'bag', 'conveni', 'harm']"
comment_106,Innovations in recycling technology give hope https://bit.ly/3plasticfacts,BBC News,2019-02-04,312,83,7,2019,innovations in recycling technology give hope bit ly plasticfacts,innovations in recycling technology give hope bit ly plasticfacts,"['innov', 'recycl', 'technolog', 'give', 'hope', 'bit', 'plasticfact']"
comment_107,Plastic pollution affects everyone globally #zerowaste,Mail Online,2023-12-22,318,4,6,2023,plastic pollution affects everyone globally zerowaste,plastic pollution affects everyone globally zerowaste,"['plastic', 'pollut', 'affect', 'everyon', 'global', 'zerowast']"
comment_108,OIL prices affect plastic recyling economics,BBC News,2018-04-26,136,1,6,2018,oil prices affect plastic recyling economics,oil prices affect plastic recycling economics,"['oil', 'price', 'affect', 'plastic', 'recycl', 'econom']"
comment_109,Plastic problem requires global solution 👎,Guardian ,2023-11-02,206,150,6,2023,plastic problem requires global solution,plastic problem requires global solution,"['plastic', 'problem', 'requir', 'global', 'solut']"
comment_110,Companies using recycled plastik deserve support #plastikpollution,Guardian ,2023-12-12,24,89,7,2023,companies using recycled plastik deserve support plastikpollution,companies using recycled plastic deserve support plastikpollution,"['compani', 'use', 'recycl', 'plastic', 'deserv', 'support', 'plastikpollut']"
comment_111,Public awareness is increasing which is good,BBC News,2018-10-15,314,109,7,2018,public awareness is increasing which is good,public awareness is increasing which is good,"['public', 'awar', 'increas', 'good']"
comment_112,Many countries have banned single-use plastic bags 🤔,BBC News,2017-03-09,31,23,8,2017,many countries have banned single use plastic bags,many countries have banned single use plastic bags,"['mani', 'countri', 'ban', 'singl', 'use', 'plastic', 'bag']"
comment_113,@GreenPeace I switched to reusable bags and bottles #ENVIROMENT,Guardian ,2023-11-05,260,76,9,2023,greenpeace i switched to reusable bags and bottles enviroment,greenpeace i switched to reusable bags and bottles environment,"['greenpeac', 'switch', 'reusabl', 'bag', 'bottl', 'environ']"
comment_114,Innovations in recycling technology give hope?!,Guardian ,2018-03-29,257,2,6,2018,innovations in recycling technology give hope,innovations in recycling technology give hope,"['innov', 'recycl', 'technolog', 'give', 'hope']"
comment_115,Plastic pollution IS preventable with effort 🚮,Guardian ,2018-06-16,93,39,7,2018,plastic pollution is preventable with effort,plastic pollution is preventable with effort,"['plastic', 'pollut', 'prevent', 'effort']"
comment_116,We must find balance between CONVENIENCE and environment??,Mail Online,2019-03-25,269,80,8,2019,we must find balance between convenience and environment,we must find balance between convenience and environment,"['must', 'find', 'balanc', 'conveni', 'environ']"
comment_117,Marine animals suffer the MOST from plastic,BBC News,2021-02-12,197,58,7,2021,marine animals suffer the most from plastic,marine animals suffer the most from plastic,"['marin', 'anim', 'suffer', 'plastic']"
comment_118,@UNEnvironment Plastic bags are convenient but harmful,Guardian ,2018-06-18,120,66,7,2018,unenvironment plastic bags are convenient but harmful,unenvironment plastic bags are convenient but harmful,"['unenviron', 'plastic', 'bag', 'conveni', 'harm']"
comment_119,Government policies need to be stronger 👎 #ecofriendly,Guardian ,2017-03-23,312,93,8,2017,government policies need to be stronger ecofriendly,government policies need to be stronger ecofriendly,"['govern', 'polici', 'need', 'stronger', 'ecofriendli']"
comment_120,Great to see biodegradable alternatives becoming AVAILABLE...,Mail Online,2021-05-15,125,149,7,2021,great to see biodegradable alternatives becoming available,great to see biodegradable alternatives becoming available,"['great', 'see', 'biodegrad', 'altern', 'becom', 'avail']"
comment_121,Reusable products are the future https://bit.ly/3plasticfacts,BBC News,2023-10-17,71,127,6,2023,reusable products are the future bit ly plasticfacts,reusable products are the future bit ly plasticfacts,"['reusabl', 'product', 'futur', 'bit', 'plasticfact']"
